,0,1,2,3,4,5,6,7
0,breakpoint_environment,high_rate,low_rate,Glenn,environmentalImpact,happynessScore,totalProfittotalScore,
134,50,0.5,0.055,0.2700000000000001,200,-4814,367499.9999999999,362885.9999999999
135,50,0.5,0.055,0.2700000000000001,200,-4550,367499.9999999999,363149.9999999999
136,50,0.5,0.055,0.2800000000000001,200,-4979,367499.9999999999,362720.9999999999
137,50,0.5,0.055,0.2800000000000001,200,-4873,367499.9999999999,362826.9999999999
138,50,0.5,0.055,0.2800000000000001,200,-4612,367499.9999999999,363087.9999999999
139,50,0.5,0.055,0.2800000000000001,200,-4506,367499.9999999999,363193.9999999999
140,50,0.5,0.055,0.2800000000000001,200,-4733,367499.9999999999,362966.9999999999
141,50,0.5,0.055,0.2900000000000001,200,-4986,367499.9999999999,362713.9999999999
142,50,0.5,0.055,0.2900000000000001,200,-4533,367499.9999999999,363166.9999999999
143,50,0.5,0.055,0.2900000000000001,200,-5395,367499.9999999999,362304.9999999999
144,50,0.5,0.055,0.2900000000000001,200,-5559,367499.9999999999,362140.9999999999
145,50,0.5,0.055,0.2900000000000001,200,-4874,367499.9999999999,362825.9999999999
146,50,0.5,0.055,0.3000000000000001,200,-5065,367499.9999999999,362634.9999999999
147,50,0.5,0.055,0.3000000000000001,200,-4196,367499.9999999999,363503.9999999999
148,50,0.5,0.055,0.3000000000000001,200,-5171,367499.9999999999,362528.9999999999
149,50,0.5,0.055,0.3000000000000001,200,-4683,367499.9999999999,363016.9999999999
150,50,0.5,0.055,0.3000000000000001,200,-4892,367499.9999999999,362807.9999999999
151,50,0.5,0.055,0.3100000000000001,200,-4686,367499.9999999999,363013.9999999999
152,50,0.5,0.055,0.3100000000000001,200,-5241,367499.9999999999,362458.9999999999
153,50,0.5,0.055,0.3100000000000001,200,-4884,367499.9999999999,362815.9999999999
154,50,0.5,0.055,0.3100000000000001,200,-5027,367499.9999999999,362672.9999999999
155,50,0.5,0.055,0.3100000000000001,200,-5122,367499.9999999999,362577.9999999999
156,50,0.5,0.055,0.3200000000000001,200,-4415,367499.9999999999,363284.9999999999
157,50,0.5,0.055,0.3200000000000001,200,-4793,367499.9999999999,362906.9999999999
158,50,0.5,0.055,0.3200000000000001,200,-5527,367499.9999999999,362172.9999999999
159,50,0.5,0.055,0.3200000000000001,200,-4614,367499.9999999999,363085.9999999999
160,50,0.5,0.055,0.3200000000000001,200,-4646,367499.9999999999,363053.9999999999
